song,composer,kr_song,kr_song_proxy
Overblow2,MAX,오버블로우2,오버블로우2
X-Tream,BanYa,엑스트림,엑스트림
Lala,Yassi Pressman,라라,라라
Full Moon - FULL SONG -,Dreamcatcher,풀 문 - FULL SONG -,풀 문 - FULL SONG -
Meteorize,Paul Bazooka,메테오라이즈,메테오라이즈
Witch Doctor #1,Yahpp,위치 닥터 #1,위치 닥터 #1
Canon D - FULL SONG -,Banya,캐논 디 - FULL SONG -,캐논 디 - FULL SONG -
Winter - SHORT CUT -,Banya,윈터 - SHORT CUT -,윈터 - SHORT CUT -
Pine Nut,Doin,잣,잣
Pumptris 8Bit ver.,YAHPP,펌트리스 8비트 ver.,펌트리스 8비트 ver.
Break It Down,MAZO,브레이크 잇 다운,브레이크 잇 다운
WI-EX-DOC-VA,YAHPP,위엑닥바,위엑닥바
HUSH,Yassi Pressman & Nadine Lustre,허쉬,허쉬
Love is a Danger Zone 2 - FULL SONG -,YAHPP,러브 이즈 어 데인저 존 2 - FULL SONG -,러브 이즈 어 댄저 존 2 - FULL SONG -
My Dreams,Banya Production,마이 드림즈,마이 드림즈
Hello William,Banya Production,안녕 윌리엄,안녕 윌리엄
Interference,Doin,인터퍼런스,인터퍼런스
Switronic - SHORT CUT -,SHK,스위트로닉 - SHORT CUT -,스위트로닉 - SHORT CUT -
X-Rave,DM Ashura,엑스 레이브,엑스 레이브
Top City,BanYa,탑 시티,탑 시티
XX OPENING - SHORT CUT -,MAX,XX 오프닝 - SHORT CUT -,XX 오프닝 - SHORT CUT -
Milky Way Galaxy,3R2,밀키 웨이 갤럭시,밀키 웨이 갤럭시
Visual Dream II (In Fiction),Aragon,비주얼 드림 2 (인 픽션),비주얼 드림 2 (인 픽션)
Final Audition 3,BanYa,파이널 오디션 3,파이널 오디션 3
Avalanquiem,MAX & MEMME,아발란퀴엠,아발란퀴엠
Hi Bi,BanYa,하이 바이,하이 바이
Naissance,BanYa,태동,태동
Love is a Danger Zone 2 Try To B.P.M,BanYa,러브 이즈 어 데인저 존 2 Try To B.P.M,러브 이즈 어 댄저 존 2 Try To B.P.M
Toccata,Banya Production,토카타,토카타
Nyarlathotep - SHORT CUT -,Nato,니알라토텝 - SHORT CUT -,니알라토텝 - SHORT CUT -
Blaze Emotion,YAHPP,블레이즈 이모션,블레이즈 이모션
BEMERA,YAHPP,비메라,비메라
Allegro Più Mosso,DM Ashura,알레그로 피유 모쏘,알레그로 피유 모쏘
Pumping Jumping,Banya Production,펌핑 점핑,펌핑 점핑
